institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
UWBM,University of Washington,USA,WA,BAEC,The Burke Museum’s Arachnology and Entomology Collections ,346000,3,0,University,47.6606,-122.3104,http://www.burkemuseum.org/research-and-collections/arachnology-and-entomology/collections,No,FALSE,FALSE
UWO,University of Western Ontario,CA,ON,UWOC,University of Western Ontario Collection,75000,4,0.01,University,43.0075,-81.2756,https://www.uwo.ca/biology/research/biology_facilities/zoological_collections.html,Snapshot,FALSE,TRUE
UWY,University of Wyoming ,USA,WY,ENT,Dillon Lab Insect Collection,30000,4,0.55,University,41.3128,105.5838,http://www.uwyo.edu/mdillon/,Live,TRUE,TRUE
UWY,University of Wyoming ,USA,WY,IM,Insect Museum,250000,3,0,University,41.3128,105.5838,http://www.uwyo.edu/esm/entomology/entomology-museum-homepage.htm,No,FALSE,FALSE
VMNH,Virginia Museum of Natural History,USA,VA,ENT,Entomology,1500000,2,0,Private,36.6866,-79.8634,https://www.entm.purdue.edu/PERC/,No,FALSE,FALSE
VPI,Virginia Polytechnic Institute ,USA,VI,VTEC,Virginia Tech Insect Collection,500000,3,0.02,University,37.2249,-80.4238,http://collection.ento.vt.edu/,Live,TRUE,FALSE
WA,University of Puget Sound,USA,WA,SLM,Slater Museum,6000,4,0,University,47.2637,-122.4828,https://www.pugetsound.edu/academics/academic-resources/slater-museum/collections/,No,FALSE,FALSE
WHC,Whitman College,USA,WA,WHC,,3000,4,0,University,46.0706,-118.3306,,No,FALSE,FALSE
WICH,Wichita State University ,USA,NE,WICHI,Insect Collection ,5000,4,0.09,University,37.7207,-97.2938,https://www.wichita.edu/academics/fairmount_college_of_liberal_arts_and_sciences/bioscience/people/faculty/mJameson/mJamesonpage.php,Live,TRUE,FALSE
WIS,University of Wisconsin ,USA,WI,WIRC,Wisconsin Insect Research Collection,3000000,1,0,University,43.0757,-89.4133,http://labs.russell.wisc.edu/wirc/,Snapshot,TRUE,FALSE
WPU,William Paterson University ,USA,NJ,WPU,,2500,4,0,University,40.946,-74.1981,,No,FALSE,FALSE
WSU,Washington State University,USA,WA,JM,James Museum,1280000,2,0,University,46.7308,-117.1598,http://entomology.wsu.edu/outreach/m-t-james-museum/,Snapshot,TRUE,TRUE
WVW,West Virginia Wesleyan College ,USA,WV,ENT,Katharine B. Gregg Orchid Pollinator Collection,500,4,0.59,University,38.9871,-80.2236,,No,FALSE,FALSE
WWU,Western Washington University ,USA,WA,WWUC,Insect Collection,50000,4,0.01,University,48.73,-122.49,http://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=67,Live,TRUE,FALSE
YPM,Yale Peabody Museum ,USA,CT,ENT,Entomology Division,1600000,2,0.19,University,41.3108,-72.9581,http://peabody.yale.edu/,Snapshot,TRUE,TRUE
